date,model,temperature,cover_story,modus_ponens,modus_tollens,affirming_the_consequent,denying_the_antecedent
2024-02-20~18:19:25,gpt-3.5-turbo-1106,0.0,task_1.txt,0,0,1,0
2024-02-20~18:19:28,gpt-4-1106-preview,0.0,task_1.txt,0,1,1,0
2024-02-20~18:19:29,gpt-3.5-turbo-1106,0.0,task_2.txt,0,0,0,0
2024-02-20~18:19:31,gpt-4-1106-preview,0.0,task_2.txt,0,0,0,0
2024-02-20~18:19:32,gpt-3.5-turbo-1106,0.0,task_3.txt,0,0,1,0
2024-02-20~18:19:35,gpt-4-1106-preview,0.0,task_3.txt,0,0,0,0
2024-02-20~18:19:35,gpt-3.5-turbo-1106,0.0,task_4.txt,1,0,1,0
2024-02-20~18:19:39,gpt-4-1106-preview,0.0,task_4.txt,1,0,1,0
2024-02-20~18:19:40,gpt-3.5-turbo-1106,0.0,task_5.txt,1,1,0,0
2024-02-20~18:19:42,gpt-4-1106-preview,0.0,task_5.txt,1,0,0,0
2024-02-20~18:20:55,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,0,1
2024-02-20~18:20:56,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:20:57,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:20:57,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:20:58,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:20:59,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:00,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,0,1
2024-02-20~18:21:01,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,0,1
2024-02-20~18:21:01,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,0,1
2024-02-20~18:21:02,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:03,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:04,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,0,1
2024-02-20~18:21:05,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:05,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,0,1
2024-02-20~18:21:06,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:07,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:08,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:09,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,0,1
2024-02-20~18:21:09,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,0,1
2024-02-20~18:21:10,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:11,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,1
2024-02-20~18:21:12,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,1
2024-02-20~18:21:13,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:14,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,0,1
2024-02-20~18:21:14,gpt-3.5-turbo-1106,0.5,task_1.txt,0,1,0,1
2024-02-20~18:21:15,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,1
2024-02-20~18:21:16,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:17,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:18,gpt-3.5-turbo-1106,0.5,task_1.txt,0,0,1,0
2024-02-20~18:21:19,gpt-3.5-turbo-1106,0.5,task_1.txt,0,1,0,0
2024-02-20~18:21:20,gpt-4-1106-preview,0.5,task_1.txt,0,1,1,0
